,IND,CHN,TWN,ISR,CAN,VNM,MYS,CRI,FRA,GBR,KOR,MEX,ESP,BRA,IRL,ITA,ROU,DEU,POL,RUS,SGP,SAU,TUR,NGA,ARE,COL,ZAF
IND,59,23,30,8,12,27,2,2,4,11,19,0,3,3,8,16,5,4,2,0,22,21,12,0,19,1,15
CHN,0,34,7,0,0,7,0,0,1,2,5,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
TWN,0,5,13,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
ISR,2,9,12,7,7,3,0,0,4,1,6,0,1,1,2,5,2,3,0,5,0,3,10,1,3,0,0
CAN,1,4,2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0
VNM,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYS,1,2,1,0,1,4,5,0,1,2,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
CRI,0,0,0,0,0,0,0,2,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0
FRA,0,0,4,0,0,1,0,0,0,0,1,0,0,2,0,2,0,0,0,0,4,1,1,0,0,0,0
GBR,1,2,2,3,1,1,0,1,1,0,2,0,2,1,0,1,2,0,0,1,0,0,1,0,1,1,0
KOR,0,2,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
MEX,0,0,0,0,0,1,0,1,0,0,0,7,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0
ESP,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BRA,0,0,1,0,0,0,0,2,0,0,0,0,2,4,0,4,2,0,0,0,1,0,2,0,0,0,0
IRL,3,2,3,1,0,2,0,1,1,1,4,0,0,2,1,2,1,0,3,0,1,1,2,0,0,0,0
ITA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,1,0,1,1,0,1,0,0,0,1,0
ROU,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
DEU,0,7,2,1,0,0,0,0,0,1,2,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
POL,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,1,1,0,0,0
RUS,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0
SGP,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SAU,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUR,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
NGA,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
ARE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,2,0,0,0,0
COL,0,1,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAF,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1
