,IND,USA,CHN,TWN,ISR,CAN,VNM,MYS,CRI,FRA,GBR,KOR,MEX,ESP,BRA,IRL,ITA,ROU,DEU,POL,RUS,SGP,SAU,TUR,NGA,ARE,COL,ZAF
IND,11,4,5,7,1,1,5,0,1,0,0,4,0,0,0,2,4,0,0,0,0,2,4,2,0,3,1,1
USA,5,3,9,6,6,2,8,0,0,1,3,6,1,0,4,2,2,6,2,1,2,0,0,2,0,1,1,0
CHN,0,0,33,5,0,1,10,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
TWN,0,0,5,12,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
ISR,2,3,11,9,9,9,3,1,0,4,1,7,1,1,0,2,3,2,4,0,5,2,3,9,1,2,0,2
CAN,1,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0
VNM,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYS,1,0,2,2,0,1,5,5,0,1,1,5,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
CRI,0,0,0,0,0,0,0,0,2,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0
FRA,0,0,0,5,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,3,1,1,0,0,0,0
GBR,1,0,4,2,2,1,1,0,1,2,0,1,0,2,0,0,1,2,0,0,0,0,0,2,0,1,1,0
KOR,0,0,3,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MEX,0,0,0,0,0,0,1,0,1,0,0,0,5,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0
ESP,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BRA,0,0,0,2,0,0,0,0,3,0,0,0,0,2,3,0,4,2,0,0,0,0,0,2,1,0,0,0
IRL,3,2,3,4,2,0,2,0,0,1,0,4,0,0,1,1,2,1,1,3,0,1,1,0,0,0,1,0
ITA,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,4,3,0,0,1,0,1,0,0,0,0,0
ROU,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
DEU,0,1,7,2,1,0,0,0,0,0,1,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
POL,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,9,0,0,0,0,1,0,0,0
RUS,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
SGP,2,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SAU,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUR,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
NGA,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
ARE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2,0,0,0,0
COL,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
ZAF,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
